Sector,Subsector,Country,Year,Flow,Measure Type,Unit,Value,Marker
audio-visual,audio-visual,belgium,year/2018,imports,Current prices,GBP Million,18.4,
dcms-sectors-exc-tourism-and-civil-society,creative-industries,bulgaria,year/2018,imports,Current prices,GBP Million,34.0,
dcms-sectors-exc-tourism-and-civil-society,cultural-sector,bulgaria,year/2018,imports,Current prices,GBP Million,16.3,
dcms-sectors-exc-tourism-and-civil-society,digital-sector,bulgaria,year/2018,imports,Current prices,GBP Million,67.7,
gambling,not-applicable,bulgaria,year/2018,imports,Current prices,GBP Million,,suppressed
sport,not-applicable,bulgaria,year/2018,imports,Current prices,GBP Million,,suppressed
telecoms,not-applicable,bulgaria,year/2018,imports,Current prices,GBP Million,3.9,
dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,bulgaria,year/2018,imports,Current prices,GBP Million,72.8,
creative-industries,advertising-and-marketing,bulgaria,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,architecture,bulgaria,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,crafts,bulgaria,year/2018,imports,Current prices,GBP Million,0.0,
creative-industries,design-and-designer-fashion,bulgaria,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,film-tv-radio-and-photography,bulgaria,year/2018,imports,Current prices,GBP Million,16.3,
creative-industries,it-software-and-computer-services,bulgaria,year/2018,imports,Current prices,GBP Million,12.4,
creative-industries,publishing,bulgaria,year/2018,imports,Current prices,GBP Million,1.4,
creative-industries,museums-galleries-and-libraries,bulgaria,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,music-performing-and-visual-arts,bulgaria,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,manufacturing-of-electronics-and-computers,bulgaria,year/2018,imports,Current prices,GBP Million,0.0,
digital-sector,wholesale-of-computers-and-electronics,bulgaria,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,publishing-excluding-translation-and-interpretation-activities,bulgaria,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,software-publishing,bulgaria,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,film-tv-video-radio-and-music,bulgaria,year/2018,imports,Current prices,GBP Million,16.3,
digital-sector,telecommunications,bulgaria,year/2018,imports,Current prices,GBP Million,3.9,
digital-sector,computer-programming-consultancy-and-related-activities,bulgaria,year/2018,imports,Current prices,GBP Million,12.7,
digital-sector,information-service-activities,bulgaria,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,repair-of-computers-and-communication-equipment,bulgaria,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,arts,bulgaria,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,film-tv-and-music,bulgaria,year/2018,imports,Current prices,GBP Million,16.3,
cultural-sector,radio,bulgaria,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,photography,bulgaria,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,cultural-crafts,bulgaria,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,museums-and-galleries,bulgaria,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,library-and-archives,bulgaria,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-education,bulgaria,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,bulgaria,year/2018,imports,Current prices,GBP Million,0.0,
audio-visual,audio-visual,bulgaria,year/2018,imports,Current prices,GBP Million,17.2,
dcms-sectors-exc-tourism-and-civil-society,creative-industries,croatia,year/2018,imports,Current prices,GBP Million,5.9,
dcms-sectors-exc-tourism-and-civil-society,cultural-sector,croatia,year/2018,imports,Current prices,GBP Million,4.7,
dcms-sectors-exc-tourism-and-civil-society,digital-sector,croatia,year/2018,imports,Current prices,GBP Million,11.4,
gambling,not-applicable,croatia,year/2018,imports,Current prices,GBP Million,0.0,
sport,not-applicable,croatia,year/2018,imports,Current prices,GBP Million,,suppressed
telecoms,not-applicable,croatia,year/2018,imports,Current prices,GBP Million,2.5,
dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,croatia,year/2018,imports,Current prices,GBP Million,12.7,
creative-industries,advertising-and-marketing,croatia,year/2018,imports,Current prices,GBP Million,0.1,
creative-industries,architecture,croatia,year/2018,imports,Current prices,GBP Million,0.0,
creative-industries,crafts,croatia,year/2018,imports,Current prices,GBP Million,0.0,
creative-industries,design-and-designer-fashion,croatia,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,film-tv-radio-and-photography,croatia,year/2018,imports,Current prices,GBP Million,4.7,
creative-industries,it-software-and-computer-services,croatia,year/2018,imports,Current prices,GBP Million,1.0,
creative-industries,publishing,croatia,year/2018,imports,Current prices,GBP Million,0.1,
creative-industries,museums-galleries-and-libraries,croatia,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,music-performing-and-visual-arts,croatia,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,manufacturing-of-electronics-and-computers,croatia,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,wholesale-of-computers-and-electronics,croatia,year/2018,imports,Current prices,GBP Million,3.0,
digital-sector,publishing-excluding-translation-and-interpretation-activities,croatia,year/2018,imports,Current prices,GBP Million,0.0,
digital-sector,software-publishing,croatia,year/2018,imports,Current prices,GBP Million,0.0,
digital-sector,film-tv-video-radio-and-music,croatia,year/2018,imports,Current prices,GBP Million,4.7,
digital-sector,telecommunications,croatia,year/2018,imports,Current prices,GBP Million,2.5,
digital-sector,computer-programming-consultancy-and-related-activities,croatia,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,information-service-activities,croatia,year/2018,imports,Current prices,GBP Million,0.0,
digital-sector,repair-of-computers-and-communication-equipment,croatia,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,arts,croatia,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,film-tv-and-music,croatia,year/2018,imports,Current prices,GBP Million,4.7,
cultural-sector,radio,croatia,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,photography,croatia,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,cultural-crafts,croatia,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,museums-and-galleries,croatia,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,library-and-archives,croatia,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-education,croatia,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,croatia,year/2018,imports,Current prices,GBP Million,0.0,
audio-visual,audio-visual,croatia,year/2018,imports,Current prices,GBP Million,4.7,
dcms-sectors-exc-tourism-and-civil-society,creative-industries,cyprus,year/2018,imports,Current prices,GBP Million,52.4,
dcms-sectors-exc-tourism-and-civil-society,cultural-sector,cyprus,year/2018,imports,Current prices,GBP Million,0.5,
dcms-sectors-exc-tourism-and-civil-society,digital-sector,cyprus,year/2018,imports,Current prices,GBP Million,79.6,
gambling,not-applicable,cyprus,year/2018,imports,Current prices,GBP Million,,suppressed
sport,not-applicable,cyprus,year/2018,imports,Current prices,GBP Million,1.6,
telecoms,not-applicable,cyprus,year/2018,imports,Current prices,GBP Million,27.2,
dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,cyprus,year/2018,imports,Current prices,GBP Million,113.6,
creative-industries,advertising-and-marketing,cyprus,year/2018,imports,Current prices,GBP Million,2.2,
creative-industries,architecture,cyprus,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,crafts,cyprus,year/2018,imports,Current prices,GBP Million,0.0,
creative-industries,design-and-designer-fashion,cyprus,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,film-tv-radio-and-photography,cyprus,year/2018,imports,Current prices,GBP Million,0.2,
creative-industries,it-software-and-computer-services,cyprus,year/2018,imports,Current prices,GBP Million,49.3,
creative-industries,publishing,cyprus,year/2018,imports,Current prices,GBP Million,0.2,
creative-industries,museums-galleries-and-libraries,cyprus,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,music-performing-and-visual-arts,cyprus,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,manufacturing-of-electronics-and-computers,cyprus,year/2018,imports,Current prices,GBP Million,0.0,
digital-sector,wholesale-of-computers-and-electronics,cyprus,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,publishing-excluding-translation-and-interpretation-activities,cyprus,year/2018,imports,Current prices,GBP Million,0.2,
digital-sector,software-publishing,cyprus,year/2018,imports,Current prices,GBP Million,,suppressed
digital-sector,film-tv-video-radio-and-music,cyprus,year/2018,imports,Current prices,GBP Million,0.4,
digital-sector,telecommunications,cyprus,year/2018,imports,Current prices,GBP Million,27.2,
digital-sector,computer-programming-consultancy-and-related-activities,cyprus,year/2018,imports,Current prices,GBP Million,49.5,
digital-sector,information-service-activities,cyprus,year/2018,imports,Current prices,GBP Million,0.7,
digital-sector,repair-of-computers-and-communication-equipment,cyprus,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,arts,cyprus,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,film-tv-and-music,cyprus,year/2018,imports,Current prices,GBP Million,0.4,
cultural-sector,radio,cyprus,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,photography,cyprus,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-crafts,cyprus,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,museums-and-galleries,cyprus,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,library-and-archives,cyprus,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-education,cyprus,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,cyprus,year/2018,imports,Current prices,GBP Million,0.0,
audio-visual,audio-visual,cyprus,year/2018,imports,Current prices,GBP Million,0.6,
dcms-sectors-exc-tourism-and-civil-society,creative-industries,czech-republic,year/2018,imports,Current prices,GBP Million,55.0,
dcms-sectors-exc-tourism-and-civil-society,cultural-sector,czech-republic,year/2018,imports,Current prices,GBP Million,12.9,
dcms-sectors-exc-tourism-and-civil-society,digital-sector,czech-republic,year/2018,imports,Current prices,GBP Million,204.7,
gambling,not-applicable,czech-republic,year/2018,imports,Current prices,GBP Million,,suppressed
sport,not-applicable,czech-republic,year/2018,imports,Current prices,GBP Million,7.5,
telecoms,not-applicable,czech-republic,year/2018,imports,Current prices,GBP Million,127.0,
dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,czech-republic,year/2018,imports,Current prices,GBP Million,226.8,
creative-industries,advertising-and-marketing,czech-republic,year/2018,imports,Current prices,GBP Million,11.2,
creative-industries,architecture,czech-republic,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,crafts,czech-republic,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,design-and-designer-fashion,czech-republic,year/2018,imports,Current prices,GBP Million,0.2,
creative-industries,film-tv-radio-and-photography,czech-republic,year/2018,imports,Current prices,GBP Million,10.5,
creative-industries,it-software-and-computer-services,czech-republic,year/2018,imports,Current prices,GBP Million,31.4,
creative-industries,publishing,czech-republic,year/2018,imports,Current prices,GBP Million,1.2,
creative-industries,museums-galleries-and-libraries,czech-republic,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,music-performing-and-visual-arts,czech-republic,year/2018,imports,Current prices,GBP Million,0.2,
digital-sector,manufacturing-of-electronics-and-computers,czech-republic,year/2018,imports,Current prices,GBP Million,0.0,
digital-sector,wholesale-of-computers-and-electronics,czech-republic,year/2018,imports,Current prices,GBP Million,,suppressed
